,City,Lat-Long 1,Lat-Long 2,Box size
166,"('Yangzhou', 'China')","('32.2246314', '119.0045966')","('33.4171032', '119.9033958')",156.75557091466445 km
167,"('Yibin', 'China')","('28.6101941', '104.4689601')","('28.9301941', '104.7889601')",47.26900472199565 km
168,"('Jiangmen', 'China')","('21.4504329', '111.9983251')","('22.8592668', '113.2574658')",202.9890326597545 km
169,"('Johannesburg', 'South Africa')","('-26.365', '27.889722')","('-26.045', '28.209722')",47.74684459045668 km
170,"('Meizhou', 'China')","('23.3761763', '115.3115968')","('24.9407118', '116.9349306')",239.2540534305014 km
171,"('Chifeng', 'China')","('42.1199929', '118.7826131')","('42.4399929', '119.1026131')",44.273994695687094 km
172,"('Casablanca', 'Morocco')","('33.4937724', '-7.746445')","('33.6409103', '-7.4574165')",31.409036204600504 km
173,"('Guiyang', 'China')","('26.1867816', '106.1189749')","('27.3599917', '107.2746854')",173.51626299998824 km
174,"('Langfang', 'China')","('38.4728365', '116.1109561')","('40.0836737', '117.2537346')",204.21444577786056 km
175,"('Zhangjiakou', 'China')","('39.5511558', '113.818069')","('42.147156', '116.4593103')",364.26133347474433 km
176,"('İzmir', 'Turkey')","('38.2547331', '26.9834119')","('38.5747331', '27.3034119')",45.19753826791067 km
177,"('Linfen', 'China')","('35.9285338', '111.352998')","('36.2485338', '111.672998')",45.731471484230724 km
178,"('Wenzhou', 'China')","('26.9648051', '119.6202349')","('28.6148932', '121.4087102')",253.966139594884 km
179,"('Monterrey', 'Mexico')","('25.4821344', '-100.4416465')","('25.7974005', '-100.1674469')",44.474927130370475 km
180,"('Luzhou', 'China')","('28.7144722', '105.2785063')","('29.0344722', '105.5985063')",47.24884965652216 km
181,"('Jiangguanchi', 'China')","('33.9606', '113.829')","('34.0406', '113.909')",11.54846569340568 km
182,"('Neijiang', 'China')","('29.4227203', '104.8944575')","('29.7427203', '105.2144575')",47.11050258225733 km
183,"('Phoenix', 'United States')","('33.2903739', '-112.3240289')","('33.9183794', '-111.9255201')",78.86571539387378 km
184,"('Yanjiang', 'China')","('29.9648239', '104.4867977')","('30.2848239', '104.8067977')",47.002921830058696 km
185,"('Yiyang', 'China')","('28.3962003', '112.1897606')","('28.7162003', '112.5097606')",47.31019157826787 km
186,"('Zhaoqing', 'China')","('22.772409', '111.3573789')","('24.392215', '112.8819543')",237.4861738835028 km
187,"('Hengshui', 'China')","('37.0565573', '115.1685182')","('38.3720109', '116.5594449')",190.67182333665977 km
188,"('Guigang', 'China')","('22.9544539', '109.4346193')","('23.2744539', '109.7546193')",48.27405173550648 km
189,"('Xiaoxita', 'China')","('30.7304342', '111.2742024')","('30.8104342', '111.3542024')",11.718247500668289 km
190,"('Xiamen', 'China')","('24.3822229', '117.882185')","('24.9072638', '118.4334753')",80.60528388100305 km
191,"('Chuzhou', 'China')","('31.8479275', '117.15433')","('33.2195313', '119.2237776')",246.83021906919893 km
192,"('Fuzhou', 'China')","('26.5019595', '115.5873148')","('28.4968354', '117.3009192')",278.4437556622819 km
193,"('Amman', 'Jordan')","('31.7915694', '35.7639625')","('32.1115694', '36.0839625')",46.63002487420529 km
194,"('Jeddah', 'Saudi Arabia')","('21.4210088', '39.0053612')","('21.7410088', '39.3253612')",48.51472897174349 km
195,"('Sialkot City', 'Pakistan')","('32.3335378', '74.3811575')","('32.6535378', '74.7011575')",46.51642806861585 km
196,"('Huizhou', 'China')","('22.2579619', '113.808633')","('23.9628812', '115.421554')",250.89105177692932 km
197,"('Qingyuan', 'China')","('23.4502963', '111.9223003')","('25.1943209', '113.926165')",280.49213319490224 km
198,"('Zhuzhou', 'China')","('27.5409794', '112.9780117')","('27.8609794', '113.2980117')",47.472424093866664 km
199,"('Wuhu', 'China')","('31.1936127', '118.2677477')","('31.5136127', '118.5877477')",46.75380941804965 km
200,"('Hechi', 'China')","('24.5329998', '107.9250638')","('24.8529998', '108.2450638')",48.011638019021554 km
201,"('Seattle', 'United States')","('47.4810022', '-122.459696')","('47.7341357', '-122.224433')",33.241503477425276 km
202,"('Loudi', 'China')","('27.2112424', '110.7628098')","('28.2348959', '112.516458')",206.81142290986136 km
203,"('Binzhou', 'China')","('45.5171179', '126.9304386')","('46.0390925', '128.3224134')",122.82029854935749 km
204,"('Liuzhou', 'China')","('24.1684746', '109.2639676')","('24.4884746', '109.5839676')",48.073528688129954 km
205,"('Yokohama', 'Japan')","('35.284991', '139.476768')","('35.604991', '139.796768')",45.87577682180654 km
206,"('Guang’an', 'China')","('30.0183455', '105.9437317')","('30.8430627', '107.3003646')",159.19651855284772 km
207,"('Hanzhong', 'China')","('32.909049', '106.858889')","('33.229049', '107.178889')",46.39437607416557 km
208,"('Kabul', 'Afghanistan')","('34.3660109', '69.0176838')","('34.6860109', '69.3376838')",46.07908159448308 km
209,"('Zaozhuang', 'China')","('34.4623742', '116.8091726')","('35.3253214', '117.830482')",133.71413200487615 km
210,"('Berlin', 'Germany')","('52.3570365', '13.2288599')","('52.6770365', '13.5488599')",41.71155400104303 km
211,"('Anshan', 'China')","('40.947519', '122.8303137')","('41.267519', '123.1503137')",44.55829746544934 km
212,"('Deyang', 'China')","('30.5268022', '103.7927705')","('31.6999801', '105.1718396')",184.99418068171587 km
213,"('Lanzhou', 'China')","('35.9020781', '103.6718566')","('36.2220781', '103.9918566')",45.73743432077582 km
214,"('Chengde', 'China')","('40.1900706', '115.9038748')","('42.6176407', '119.2432982')",388.09357210011575 km
